epoch,train_loss,val_loss,lr,train_grad_norm_mean,train_grad_norm_max,is_best
1,104.44356219,123.55737686,0.00080000,23.06725089,29.68639374,1
2,106.83232371,119.50504684,0.00080000,28.82057095,46.42791367,1
3,101.36866760,107.09817886,0.00080000,40.73218791,52.03971863,1
4,85.87661934,82.50682640,0.00080000,71.90253131,122.68382263,1
5,60.70937792,52.70895576,0.00080000,101.47382291,175.40960693,1
6,37.88098431,29.41946411,0.00080000,91.05344264,171.51399231,1
7,24.57365704,18.37028933,0.00080000,56.58195210,135.99488831,1
8,18.88363298,12.57421017,0.00080000,54.65883128,103.39962769,1
9,15.69828200,8.63929129,0.00080000,55.42138894,96.84716797,1
10,10.96928517,7.08906579,0.00080000,58.43305715,92.81018829,1
11,8.23996488,6.71467066,0.00080000,28.14317433,57.33247375,1
12,7.72630501,7.25439715,0.00080000,47.49610090,159.87881470,0
13,6.15231689,6.65986919,0.00080000,24.63591528,38.76749039,1
14,5.12259658,5.87968493,0.00080000,28.68292618,61.15911484,1
15,4.85548524,5.35402536,0.00080000,27.55802226,52.99351883,1
16,4.40968359,5.36138558,0.00080000,25.09503603,57.03474045,0
17,4.29475764,5.21277487,0.00080000,17.33190544,34.91294479,1
18,3.68094712,4.86238027,0.00080000,12.23058724,26.10398102,1
19,3.43454508,4.69414628,0.00080000,15.83380763,25.02735138,1
20,3.11167145,4.91556621,0.00080000,12.58855009,19.42762375,0
21,3.03717758,5.22375119,0.00080000,20.35960094,29.88040924,0
22,2.84796862,4.89682376,0.00080000,18.89765104,27.16279602,0
23,2.68724734,4.64472198,0.00080000,22.64438009,51.44475555,1
24,2.65091970,4.79290974,0.00080000,20.33473778,43.75192642,0
25,2.45847366,4.91401148,0.00080000,15.00882987,32.64383316,0
26,2.23335395,4.68709373,0.00080000,17.38416449,47.15966034,0
27,2.25986209,4.81456637,0.00080000,22.42377683,47.81248856,0
28,2.02064117,4.65250635,0.00080000,11.60454694,24.15256882,0
29,2.14286979,4.55765450,0.00080000,19.73953350,41.67303467,1
30,2.05706410,4.34458089,0.00080000,15.21489143,28.48846054,1
31,1.71293982,4.19908750,0.00080000,11.61953064,29.06549835,1
32,1.79689709,4.10228479,0.00080000,13.62092845,40.91093826,1
33,1.82260784,4.09849823,0.00080000,18.59660403,27.36925125,1
34,1.53130311,4.11711669,0.00080000,12.56351527,32.00186539,0
35,1.61290142,3.96295905,0.00080000,13.16290172,30.24584579,1
36,1.47110273,4.13741493,0.00080000,10.95148190,22.01134491,0
37,1.42294870,4.01994348,0.00080000,8.44663262,16.13508224,0
38,1.50442737,4.01816833,0.00080000,15.49995613,25.62293243,0
39,1.34721730,3.87193596,0.00080000,12.29069889,20.45870972,1
40,1.40044551,3.82913888,0.00080000,16.55146591,27.14062691,1
41,1.18176708,3.85609782,0.00080000,6.25305812,10.23873234,0
42,1.17149562,3.90381813,0.00080000,6.43282104,14.87767220,0
43,1.24836206,3.70721841,0.00080000,7.07841587,12.01408958,1
44,1.12501352,3.99269795,0.00080000,6.95886254,24.80965614,0
45,1.17756720,3.68765342,0.00080000,11.93830983,20.54463196,1
46,1.07816848,3.64324629,0.00080000,8.81873063,19.20583916,1
47,0.93443658,3.69960725,0.00080000,6.99414802,14.00470352,0
48,0.89186564,3.48732126,0.00080000,6.87844149,11.08592415,1
49,0.92800552,3.63646615,0.00080000,9.61233632,16.27639580,0
50,0.91814155,3.58508921,0.00080000,6.36124047,14.34881973,0
51,0.93768634,3.59147382,0.00080000,12.40590636,21.72192574,0
52,0.91089549,3.47319973,0.00080000,10.98996250,22.27795219,1
53,0.81391945,3.65220284,0.00080000,7.72696126,14.75370121,0
54,0.79877712,3.62406266,0.00080000,6.59952553,11.05728626,0
55,0.80128666,3.47269678,0.00080000,8.30100489,13.58347702,1
56,0.75096066,3.43900919,0.00080000,4.47962284,9.56095886,1
57,0.73206102,3.43335712,0.00080000,5.65206703,10.69929886,1
58,0.77404205,3.70564044,0.00080000,10.01020344,15.08733749,0
59,0.75395119,3.22458351,0.00080000,10.25002789,16.55755424,1
60,0.73353994,3.57107747,0.00080000,8.64612158,15.83795357,0
