run_name,model,history_length,learning_rate,weight_decay,epochs,status,best_val_loss,best_epoch,checkpoint,error_tail
cnn_h3_lr1e-03_wd0e+00,cnn,3,0.001,0.0,20,ok,19.377196311950684,7,results/tuning/checkpoints_tmp/cnn_h3_lr1e-03_wd0e+00.pt,
cnn_h3_lr1e-03_wd1e-05,cnn,3,0.001,1e-05,20,ok,19.412322998046875,7,results/tuning/checkpoints_tmp/cnn_h3_lr1e-03_wd1e-05.pt,
cnn_h3_lr5e-04_wd0e+00,cnn,3,0.0005,0.0,20,ok,22.173864364624023,7,results/tuning/checkpoints_tmp/cnn_h3_lr5e-04_wd0e+00.pt,
cnn_h3_lr5e-04_wd1e-05,cnn,3,0.0005,1e-05,20,ok,22.172179222106934,7,results/tuning/checkpoints_tmp/cnn_h3_lr5e-04_wd1e-05.pt,
cnn_h3_lr1e-04_wd0e+00,cnn,3,0.0001,0.0,20,ok,23.035075187683105,13,results/tuning/checkpoints_tmp/cnn_h3_lr1e-04_wd0e+00.pt,
cnn_h3_lr1e-04_wd1e-05,cnn,3,0.0001,1e-05,20,ok,23.033879280090332,13,results/tuning/checkpoints_tmp/cnn_h3_lr1e-04_wd1e-05.pt,
cnn_h6_lr1e-03_wd0e+00,cnn,6,0.001,0.0,20,ok,17.28595542907715,5,results/tuning/checkpoints_tmp/cnn_h6_lr1e-03_wd0e+00.pt,
cnn_h6_lr1e-03_wd1e-05,cnn,6,0.001,1e-05,20,ok,17.312031269073486,5,results/tuning/checkpoints_tmp/cnn_h6_lr1e-03_wd1e-05.pt,
cnn_h6_lr5e-04_wd0e+00,cnn,6,0.0005,0.0,20,ok,16.393645763397217,8,results/tuning/checkpoints_tmp/cnn_h6_lr5e-04_wd0e+00.pt,
cnn_h6_lr5e-04_wd1e-05,cnn,6,0.0005,1e-05,20,ok,16.400508403778076,8,results/tuning/checkpoints_tmp/cnn_h6_lr5e-04_wd1e-05.pt,
cnn_h6_lr1e-04_wd0e+00,cnn,6,0.0001,0.0,20,ok,18.33323049545288,20,results/tuning/checkpoints_tmp/cnn_h6_lr1e-04_wd0e+00.pt,
cnn_h6_lr1e-04_wd1e-05,cnn,6,0.0001,1e-05,20,ok,18.33082914352417,20,results/tuning/checkpoints_tmp/cnn_h6_lr1e-04_wd1e-05.pt,
convlstm_h3_lr1e-03_wd0e+00,convlstm,3,0.001,0.0,20,ok,7.5941479206085205,20,results/tuning/checkpoints_tmp/convlstm_h3_lr1e-03_wd0e+00.pt,
convlstm_h3_lr1e-03_wd1e-05,convlstm,3,0.001,1e-05,20,ok,7.601067066192627,20,results/tuning/checkpoints_tmp/convlstm_h3_lr1e-03_wd1e-05.pt,
convlstm_h3_lr5e-04_wd0e+00,convlstm,3,0.0005,0.0,20,ok,13.632719039916992,20,results/tuning/checkpoints_tmp/convlstm_h3_lr5e-04_wd0e+00.pt,
convlstm_h3_lr5e-04_wd1e-05,convlstm,3,0.0005,1e-05,20,ok,13.642913103103638,20,results/tuning/checkpoints_tmp/convlstm_h3_lr5e-04_wd1e-05.pt,
convlstm_h3_lr1e-04_wd0e+00,convlstm,3,0.0001,0.0,20,ok,104.39741516113281,20,results/tuning/checkpoints_tmp/convlstm_h3_lr1e-04_wd0e+00.pt,
convlstm_h3_lr1e-04_wd1e-05,convlstm,3,0.0001,1e-05,20,ok,104.39857482910156,20,results/tuning/checkpoints_tmp/convlstm_h3_lr1e-04_wd1e-05.pt,
convlstm_h6_lr1e-03_wd0e+00,convlstm,6,0.001,0.0,20,ok,10.679792165756226,20,results/tuning/checkpoints_tmp/convlstm_h6_lr1e-03_wd0e+00.pt,
convlstm_h6_lr1e-03_wd1e-05,convlstm,6,0.001,1e-05,20,ok,10.673401117324829,20,results/tuning/checkpoints_tmp/convlstm_h6_lr1e-03_wd1e-05.pt,
convlstm_h6_lr5e-04_wd0e+00,convlstm,6,0.0005,0.0,20,ok,10.61629056930542,20,results/tuning/checkpoints_tmp/convlstm_h6_lr5e-04_wd0e+00.pt,
convlstm_h6_lr5e-04_wd1e-05,convlstm,6,0.0005,1e-05,20,ok,10.615656614303589,20,results/tuning/checkpoints_tmp/convlstm_h6_lr5e-04_wd1e-05.pt,
convlstm_h6_lr1e-04_wd0e+00,convlstm,6,0.0001,0.0,20,ok,76.48804473876953,20,results/tuning/checkpoints_tmp/convlstm_h6_lr1e-04_wd0e+00.pt,
convlstm_h6_lr1e-04_wd1e-05,convlstm,6,0.0001,1e-05,20,ok,76.48943519592285,20,results/tuning/checkpoints_tmp/convlstm_h6_lr1e-04_wd1e-05.pt,
